datetime,^OEX,cash,commission,total,returns,equity_curve,drawdown
2016-01-01,0.0,100000.0,0.0,100000.0,,,
2016-01-04,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2016-01-05,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2016-01-06,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2016-01-07,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2016-01-08,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2016-01-11,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2016-01-12,86521.00219726562,14191.499267578125,1.5,100712.50146484375,0.0071250146484374,1.0071250146484374,0.0
2016-01-13,84408.00170898438,14191.499267578125,1.5,98599.5009765625,-0.020980518382008873,0.9859950097656249,0.02113000488281247
2016-01-14,0.0,98598.0009765625,3.0,98598.0009765625,-1.5213058739083074e-05,0.9859800097656249,0.021145004882812457
2016-01-15,0.0,98598.0009765625,3.0,98598.0009765625,0.0,0.9859800097656249,0.021145004882812457
2016-01-19,0.0,98598.0009765625,3.0,98598.0009765625,0.0,0.9859800097656249,0.021145004882812457
2016-01-20,82978.0029296875,14544.4990234375,4.5,97522.501953125,-0.010907919154397039,0.9752250195312498,0.03189999511718755
2016-01-21,0.0,97521.001953125,6.0,97521.001953125,-1.538106559983987e-05,0.9752100195312499,0.03191499511718754
2016-01-22,0.0,97521.001953125,6.0,97521.001953125,0.0,0.9752100195312499,0.03191499511718754
2016-01-25,83871.9970703125,12385.499267578125,7.5,96257.49633789062,-0.01295624111657201,0.9625749633789061,0.044550051269531266
2016-01-26,0.0,96255.99633789062,9.0,96255.99633789062,-1.5583201901869792e-05,0.9625599633789061,0.04456505126953125
2016-01-27,0.0,96255.99633789062,9.0,96255.99633789062,0.0,0.9625599633789061,0.04456505126953125
2016-01-28,0.0,96255.99633789062,9.0,96255.99633789062,0.0,0.9625599633789061,0.04456505126953125
2016-01-29,0.0,96255.99633789062,9.0,96255.99633789062,0.0,0.9625599633789061,0.04456505126953125
2016-02-01,86661.99951171875,9420.49365234375,10.5,96082.4931640625,-0.0018025180812535346,0.9608249316406249,0.04630008300781252
2016-02-02,85109.00268554688,9420.49365234375,10.5,94529.49633789062,-0.016163161206902754,0.9452949633789062,0.06183005126953123
2016-02-03,85459.99755859375,9420.49365234375,10.5,94880.4912109375,0.003713072497416814,0.948804912109375,0.05832010253906239
2016-02-04,85490.99731445312,9420.49365234375,10.5,94911.49096679688,0.0003267242344946464,0.9491149096679687,0.05801010498046866
2016-02-05,83977.001953125,9420.49365234375,10.5,93397.49560546875,-0.015951655019915023,0.9339749560546875,0.0731500585937499
2016-02-08,0.0,93395.99560546875,12.0,93395.99560546875,-1.606038781098995e-05,0.9339599560546875,0.07316505859374989
2016-02-09,83096.9970703125,10177.497314453125,13.5,93274.49438476562,-0.001300925376034101,0.9327449438476563,0.07438007080078113
2016-02-10,82960.99853515625,10177.497314453125,13.5,93138.49584960938,-0.0014580463400342136,0.9313849584960938,0.07574005615234358
2016-02-11,82060.99853515625,10177.497314453125,13.5,92238.49584960938,-0.009663029145899338,0.9223849584960938,0.08474005615234359
2016-02-12,83589.00146484375,10177.497314453125,13.5,93766.49877929688,0.016565783251483612,0.9376649877929688,0.06946002685546859
2016-02-16,0.0,93764.99877929688,15.0,93764.99877929688,-1.599718470379763e-05,0.9376499877929688,0.06947502685546858
2016-02-17,86175.0,8924.497314453125,16.5,95099.49731445312,0.014232374047136398,0.9509949731445312,0.056130041503906214
2016-02-18,85715.99731445312,8924.497314453125,16.5,94640.49462890625,-0.004826552174394316,0.9464049462890624,0.060720068359375046
2016-02-19,0.0,94638.99462890625,18.0,94638.99462890625,-1.584945224430978e-05,0.9463899462890624,0.06073506835937503
2016-02-22,86877.001953125,8912.49462890625,19.5,95789.49658203125,0.012156743186424235,0.9578949658203123,0.049230048828125095
2016-02-23,0.0,95787.99658203125,21.0,95787.99658203125,-1.5659336916051814e-05,0.9578799658203123,0.04924504882812508
2016-02-24,0.0,95787.99658203125,21.0,95787.99658203125,0.0,0.9578799658203123,0.04924504882812508
2016-02-25,86960.99853515625,9771.494140625,22.5,96732.49267578125,0.009860276104022514,0.9673249267578122,0.03980008789062517
2016-02-26,86694.00024414062,9771.494140625,22.5,96465.49438476562,-0.0027601717233786127,0.964654943847656,0.04247007080078136
2016-02-29,85944.00024414062,9771.494140625,22.5,95715.49438476562,-0.007774800769781209,0.9571549438476561,0.04997007080078131
2016-03-01,88101.0009765625,9771.494140625,22.5,97872.4951171875,0.022535543971083483,0.9787249511718749,0.028400063476562543
2016-03-02,0.0,97870.9951171875,24.0,97870.9951171875,-1.532606273302317e-05,0.9787099511718749,0.02841506347656253
2016-03-03,88572.998046875,9451.495849609375,25.5,98024.49389648438,0.0015683786510301,0.9802449389648435,0.02688007568359385
2016-03-04,88785.99853515625,9451.495849609375,25.5,98237.49438476562,0.0021729312727305494,0.9823749438476561,0.024750070800781288
2016-03-07,88758.00170898438,9451.495849609375,25.5,98209.49755859375,-0.00028499124847602975,0.9820949755859374,0.02503003906250001
2016-03-08,87975.0,9451.495849609375,25.5,97426.49584960938,-0.007972769726443452,0.9742649584960936,0.032860056152343775
2016-03-09,0.0,97424.99584960938,27.0,97424.99584960938,-1.5396222423080808e-05,0.9742499584960936,0.03287505615234376
2016-03-10,0.0,97424.99584960938,27.0,97424.99584960938,0.0,0.9742499584960936,0.03287505615234376
2016-03-11,89654.99877929688,9076.498779296875,28.5,98731.49755859375,0.013410333740236036,0.9873149755859374,0.019810039062500007
2016-03-14,0.0,98729.99755859375,30.0,98729.99755859375,-1.5192720024370665e-05,0.9872999755859374,0.019825039062499994
2016-03-15,89548.9990234375,9187.500244140625,31.5,98736.49926757812,6.585343001264121e-05,0.9873649926757812,0.01976002197265625
2016-03-16,89909.00268554688,9187.500244140625,31.5,99096.5029296875,0.00364610518683417,0.9909650292968748,0.0161599853515626
2016-03-17,0.0,99095.0029296875,33.0,99095.0029296875,-1.5136760184830678e-05,0.9909500292968748,0.016174985351562587
2016-03-18,90788.00048828125,8624.502685546875,34.5,99412.50317382812,0.0032039985342742217,0.994125031738281,0.01299998291015636
2016-03-21,90971.9970703125,8624.502685546875,34.5,99596.49975585938,0.0018508394432994457,0.9959649975585936,0.011160017089843821
2016-03-22,90890.00244140625,8624.502685546875,34.5,99514.50512695312,-0.0008232681781713547,0.9951450512695311,0.011979963378906278
2016-03-23,0.0,99513.00512695312,36.0,99513.00512695312,-1.5073179513769297e-05,0.9951300512695311,0.011994963378906265
2016-03-24,90405.99975585938,9116.50390625,37.5,99522.50366210938,9.545018908974079e-05,0.9952250366210937,0.01189997802734366
2016-03-28,90386.99951171875,9116.50390625,37.5,99503.50341796875,-0.00019091404899873599,0.9950350341796875,0.012089980468749872
2016-03-29,0.0,99502.00341796875,39.0,99502.00341796875,-1.5074846095641803e-05,0.9950200341796875,0.01210498046874986
2016-03-30,0.0,99502.00341796875,39.0,99502.00341796875,0.0,0.9950200341796875,0.01210498046874986
2016-03-31,91292.99926757812,7925.50341796875,40.5,99218.50268554688,-0.002849196224029793,0.9921850268554688,0.014939987792968568
2016-04-01,0.0,99217.00268554688,42.0,99217.00268554688,-1.5118147919990221e-05,0.9921700268554688,0.014954987792968555
2016-04-04,0.0,99217.00268554688,42.0,99217.00268554688,0.0,0.9921700268554688,0.014954987792968555
2016-04-05,0.0,99217.00268554688,42.0,99217.00268554688,0.0,0.9921700268554688,0.014954987792968555
